unique_url,url_class
coingirl.com,UNKNOWN
rrdsb.com,Education/Reference
hotresume.com,Job Search
mdr.org,Health
addressamerica.com,Non-Profit/Advocacy/NGO
oliebollen.com,Online Shopping
credit-card-application-approval-online.com,Finance/Banking
laneworkforce.org,Job Search
carltonbale.com,Personal Pages
hotxxxmovie.com,Pornography
cafb29b24.org,Marketing/Merchandising
impulseusa.com,Online Shopping
online-dating-fun.com,Dating/Personals
zipforms.com,Real Estate
kidsrkids.com,Education/Reference
maxho.com,Entertainment
bobs.com,Entertainment
harvestfestival.com,Entertainment
luxury-homes.tv,Finance/Banking
umcs.org,Religion/Ideologies
malignantrecords.com,Entertainment
horny-whores.net,Pornography
pregnant-belly.com,Pornography
maryengelbreit.com,Fashion/Beauty
visit.co.il,Business
brownandbrown.com,Marketing/Merchandising
europatravel.com,Entertainment
god-games.com,Games
leadcapturepro.net,UNKNOWN
online-spyware-scan.com,Spyware/Adware/Keyloggers
mumbai-central.com,General News
familypride.org,Non-Profit/Advocacy/NGO
downlinecash.de,Finance/Banking
southeastvacations.com,Travel
bridalshowexpo.com,Fashion/Beauty
wordart.com,Parked Domain
lizzy.com,UNKNOWN
spring.com,Education/Reference
charlotte-autofair.com,Motor Vehicles
islamset.com,Education/Reference
wannasing.com,Recreation/Hobbies
thehamslam.com,Pornography
jilted.org,Personal Pages
mytown.co.nz,Public Information
23isback.com,Marketing/Merchandising
yahoolagans.com,Parked Domain
gey.com,Malicious Sites
spainsearch.info,Portal Sites
homeculinarian.com,Parked Domain
d56.com,Online Shopping
earthriders.org,Sports
flightsimaviation.com,Recreation/Hobbies
ncmuseumofhistory.org,Art/Culture/Heritage
mudwrestle.us,Pornography
powerdealselite.com,UNKNOWN
alisonmoyet.com,Art/Culture/Heritage
fh-rhein-sieg.de,Education/Reference
gentracer.com,Education/Reference
kochkyborg.de,Personal Pages
mitec.net,Business
bundlesoflove.org,Non-Profit/Advocacy/NGO
gametiger.de,Forum/Bulletin Boards
funnelcake.com,Auctions/Classifieds
kontrokultura.org,General News
24.150.22.65,UNKNOWN
tokamak.ru,UNKNOWN
mannymarketing.com,UNKNOWN
incest-video.com,Pornography
crossdresser.com,Pornography
number-one-weight-loss.com,Marketing/Merchandising
openwidebaby.com,Pornography
216.162.206.150,UNKNOWN
templesend.net,UNKNOWN
telco.nu,Pornography
cliparts-fabrik.de,Media Downloads
web-site-hosting-usa.com,Business
lien-social.com,General News
safemailnetwork.com,UNKNOWN
surveytheglobe.com,Business
thebudgetdecorator.com,Finance/Banking
yachtsee.com,Marketing/Merchandising
gossimer.net,Malicious Sites
buslist.org,Forum/Bulletin Boards
minxter.com,Portal Sites
faketrix.com,Entertainment
crew-design.com,Portal Sites
offroad.com,Sports
nowevolution.com,Software/Hardware
worldwideshoppingzone.com,Online Shopping
myvipshoppingcrossroads.com,UNKNOWN
shopkrystalsteal.com,Pornography
ebnet.org,Education/Reference
skynergy.com,Software/Hardware
